sent_to,no. PFDs,overdue,pending,received,% received
Midlands Partnership University NHS Foundation Trust,25,12,1,12,48
"Tees, Esk and Wear Valley NHS Foundation Trust",24,16,1,7,29
Blackpool Teaching Hospitals NHS Foundation Trust,24,11,0,13,54
Royal College of Paediatrics and Child Health,24,11,2,11,46
Welsh Government,24,11,0,13,54
Surrey and Borders Partnership NHS Foundation Trust,23,11,2,10,43
Royal College of Obstetricians and Gynaecologists,23,15,0,8,35
Oxleas NHS Foundation Trust,23,13,0,10,43
Leeds Teaching Hospitals NHS Trust,23,9,1,13,57
Camden and Islington NHS Foundation Trust,23,10,0,13,57
Transport for London,23,8,0,15,65
Royal College of General Practitioners,22,9,1,12,55
University Hospitals of North Midlands NHS Trust,22,8,0,14,64
Cardiff and Vale University Health Board,22,12,0,10,45
NHS Birmingham and Solihull Integrated Care Board,21,5,0,16,76
Avon and Wiltshire Mental Health Partnership NHS Trust,21,12,0,9,43
Cornwall Council,21,7,0,14,67
East Midlands Ambulance Service NHS Trust,21,9,0,12,57
University Hospitals Plymouth NHS Trust,20,9,0,11,55
Swansea Bay University Health Board,20,10,0,10,50
"Department for Culture, Media and Sport",20,12,0,8,40
North West Ambulance Service NHS Trust,20,11,0,9,45
Herefordshire and Worcestershire Health and Care NHS Trust,19,8,0,11,58
Devon Partnership NHS Trust,19,6,0,13,68
Royal College of Psychiatrists,19,16,0,3,16
West Midlands Police,19,6,0,13,68
East Kent Hospitals University NHS Foundation Trust,19,10,0,9,47
Nursing and Midwifery Council,18,10,0,8,44
The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,18,6,0,12,67
South London and Maudsley NHS Foundation Trust,18,9,0,9,50
East of England Ambulance Service NHS Trust,18,8,0,10,56
Public Health England,18,10,0,8,44
Medway NHS Foundation Trust,17,8,0,9,53
NHS Derby and Derbyshire Integrated Care Board,17,12,0,5,29
Civil Aviation Authority,17,5,0,12,71
Kent and Medway NHS and Social Care Partnership Trust,17,10,0,7,41
South Central Ambulance Service NHS Foundation Trust,17,12,0,5,29
Liverpool University Hospitals NHS Foundation Trust,17,8,0,9,53
Surrey County Council,17,9,1,7,41
United Lincolnshire Hospitals NHS Trust,16,8,0,8,50
St George’s University Hospitals NHS Foundation Trust,16,13,0,3,19
Milton Keynes University Hospital NHS Foundation Trust,16,7,0,9,56
Cumbria County Council,16,7,0,9,56
Surrey Police,16,10,1,5,31
Bedfordshire Hospitals NHS Foundation Trust,16,6,0,10,62
NHS Digital,15,4,0,11,73
North East Ambulance Service NHS Foundation Trust,15,7,1,7,47
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,15,4,0,11,73
Royal College of Anaesthetists,15,8,1,6,40
Priory Group,15,6,1,8,53
"Department for Business, Energy and Industrial Strategy",14,8,0,6,43
Durham County Council,14,3,0,11,79
South East Coast Ambulance Service NHS Foundation Trust,14,4,1,9,64
Birmingham City Council,14,7,0,7,50
Royal College of Physicians,14,9,1,4,29
King’s College Hospital NHS Foundation Trust,14,10,0,4,29
Department for Work and Pensions,13,6,0,7,54
East Lancashire Hospitals NHS Trust,13,7,0,6,46
Ashford and St Peter’s Hospitals NHS Foundation Trust,13,9,0,4,31
Royal College of Emergency Medicine,13,7,2,4,31
Leicestershire Partnership NHS Trust,13,2,0,11,85
Lancashire and South Cumbria NHS Foundation Trust,13,8,0,5,38
University College London Hospitals NHS Foundation Trust,13,5,2,6,46
Maritime and Coastguard Agency,13,5,0,8,62
Sussex Police,13,6,1,6,46
G4S,13,6,0,7,54
NHS Cornwall and Isles of Scilly Integrated Care Board,13,8,0,5,38
"Foreign, Commonwealth and Development Office",13,8,0,5,38
Dorset Healthcare University NHS Foundation Trust,13,12,0,1,8
County Durham and Darlington NHS Foundation Trust,13,5,0,8,62
Worcestershire Acute Hospitals NHS Trust,13,3,2,8,62
HM Prison Pentonville,13,10,0,3,23
Kent County Council,12,6,0,6,50
Hywel Dda University Health Board,12,7,0,5,42
Driver and Vehicle Licensing Agency,12,10,1,1,8
Mid Yorkshire Teaching NHS Trust,12,5,0,7,58
Portsmouth Hospitals University NHS Trust,12,6,0,6,50
North Cumbria Integrated Care NHS Foundation Trust,12,5,1,6,50
Norfolk and Norwich University Hospitals NHS Foundation Trust,12,9,0,3,25
Great Western Hospitals NHS Foundation Trust,12,5,0,7,58
Black Country Healthcare NHS Foundation Trust,12,5,0,7,58
Bolton NHS Foundation Trust,12,4,0,8,67
General Pharmaceutical Council,12,5,2,5,42
West Midlands Ambulance Service University NHS Foundation Trust,12,5,0,7,58
Whittington Health NHS Trust,11,3,0,8,73
"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust",11,2,1,8,73
"Department for Environment, Food and Rural Affairs",11,8,0,3,27
Devon and Cornwall Constabulary,11,7,0,4,36
West London NHS Trust,11,6,0,5,45
Cornwall Partnership NHS Foundation Trust,11,4,0,7,64
Norfolk County Council,11,2,0,9,82
Royal Free London NHS Foundation Trust,11,5,1,5,45
Sandwell and West Birmingham Hospitals NHS Trust,11,4,0,7,64
North Bristol NHS Trust,11,4,0,7,64
British Medical Association,11,9,0,2,18
Oxford University Hospitals NHS Foundation Trust,11,3,0,8,73
South West London and St George’s Mental Health NHS Trust,11,7,0,4,36
NHS Sussex Integrated Care Board,11,7,0,4,36
Surrey and Sussex Healthcare NHS Trust,11,5,0,6,55
South West Yorkshire Partnership NHS Foundation Trust,11,7,0,4,36
Yorkshire Ambulance Service NHS Trust,11,4,0,7,64
Leeds City Council,11,1,0,10,91
Southern Health NHS Foundation Trust,11,5,0,6,55
Royal Cornwall Hospitals NHS Trust,10,5,0,5,50
Sheffield Teaching Hospitals NHS Foundation Trust,10,6,0,4,40
Calderdale Council,10,6,0,4,40
Cyngor Sir Powys County Council,10,9,0,1,10
North West Boroughs Healthcare NHS Foundation Trust,10,2,0,8,80
NHS Nottingham and Nottinghamshire Integrated Care Board,10,9,0,1,10
South Tyneside and Sunderland NHS Foundation Trust,10,4,0,6,60
Egton Medical Information Systems,10,6,0,4,40
University Hospitals of Leicester NHS Trust,10,1,0,9,90
Coventry and Warwickshire Partnership NHS Trust,10,4,0,6,60
Royal United Hospitals Bath NHS Foundation Trust,10,5,0,5,50
Walsall Healthcare NHS Trust,10,4,0,6,60
Royal Pharmaceutical Society,9,5,0,4,44
Office for Product Safety and Standards,9,4,1,4,44
Maidstone and Tunbridge Wells NHS Foundation Trust,9,2,0,7,78
Lincolnshire County Council,9,3,0,6,67
Royal College of Surgeons,9,7,0,2,22
Trafford Council,9,5,0,4,44
Staffordshire County Council,9,4,1,4,44
Frimley Health NHS Foundation Trust,9,5,0,4,44
South Western Ambulance Service NHS Foundation Trust,9,6,0,3,33
Dudley Group NHS Foundation Trust,9,2,0,7,78
Warwickshire County Council,9,5,0,4,44
Berkshire Healthcare NHS Foundation Trust,9,6,0,3,33
HC One,9,2,0,7,78
Canal and River Trust,9,6,0,3,33
Hampshire and Isle of Wight Constabulary,8,5,0,3,38
Hampshire County Council,8,2,0,6,75
NHS Wales,8,6,0,2,25
Gloucestershire Hospital NHS Foundation Trust,8,3,0,5,62
Food Standards Agency,8,1,0,7,88
British Transport Police,8,4,0,4,50
Health Services Safety Investigations Body,8,6,0,2,25
Chief Fire Officers Association,8,4,0,4,50
Camden Council,8,3,0,5,62
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",8,4,0,4,50
"Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust",8,3,0,5,62
Mid and South Essex NHS Foundation Trust,8,2,0,6,75
Resuscitation Council UK,8,3,0,5,62
Royal College of Pathologists,8,7,0,1,12
West Sussex County Council,8,2,0,6,75
Royal Wolverhampton NHS Trust,8,4,0,4,50
Dorset Council,8,0,0,8,100
Royal College of Nursing,7,5,0,2,29
NHS West Yorkshire Integrated Care Board,7,6,0,1,14
Joint Royal Colleges Ambulance Liaison Committee,7,7,0,0,0
Bedfordshire Police,7,1,0,6,86
"Bournemouth, Christchurch and Poole Council",7,4,0,3,43
Guy's and St Thomas' NHS Foundation Trust,7,2,0,5,71
Advisory Council on the Misuse of Drugs,7,6,0,1,14
Dorset Police,7,2,0,5,71
Devon County Council,7,4,0,3,43
Birmingham Women's and Children's NHS Foundation Trust,7,7,0,0,0
Wiltshire Council,7,3,0,4,57
Suffolk County Council,7,2,0,5,71
Lewisham and Greenwich NHS Trust,7,3,0,4,57
Tower Hamlets Council,7,4,0,3,43
Nottinghamshire County Council,7,3,0,4,57
Greater London Authority,7,5,0,2,29
Cheshire East Council,7,0,0,7,100
Sherwood Forest Hospitals NHS Foundation Trust,7,3,0,4,57
Isle of Wight Council,7,4,0,3,43
Shrewsbury and Telford Hospital NHS Trust,7,3,0,4,57
Cambridgeshire County Council,7,3,0,4,57
Milton Keynes City Council,7,1,1,5,71
Epsom and St Helier University Hospitals NHS Trust,7,3,0,4,57
Cheshire and Wirral Partnership NHS Foundation Trust,7,5,0,2,29
Royal National Lifeboat Institution,7,3,0,4,57
Wye Valley NHS Trust,6,1,0,5,83
Thames Valley Police,6,0,1,5,83
Rail Safety and Standards Board,6,5,0,1,17
Office of Rail and Road,6,4,0,2,33
West Yorkshire Police,6,2,0,4,67
Rotherham Doncaster and South Humber NHS Foundation Trust,6,3,1,2,33
Gloucestershire Health and Care NHS Foundation Trust,6,2,0,4,67
University Hospitals Coventry and Warwickshire NHS Trust,6,4,0,2,33
University Health Board,6,4,0,2,33
Leeds and York Partnership NHS Foundation Trust,6,2,0,4,67
Tameside Metropolitan Borough Council,6,5,0,1,17
Calderdale and Huddersfield NHS Foundation Trust,6,4,0,2,33
Driver and Vehicle Standards Agency,6,4,0,2,33
NHS Lancashire and South Cumbria Integrated Care Board,6,3,0,3,50
Royal College of Radiologists,6,2,0,4,67
National Trust,6,0,0,6,100
Hull University Teaching Hospitals NHS Trust,6,3,0,3,50
Circle Health Group,6,5,0,1,17
North Yorkshire County Council,6,2,0,4,67
NHS Devon Integrated Care Board,6,3,0,3,50
British Standards Institution,6,3,0,3,50
South Wales Police,6,3,0,3,50
HM Prison Belmarsh,6,6,0,0,0
Sheffield Children’s NHS Foundation Trust,6,3,0,3,50
"Barnet, Enfield and Haringey Mental Health NHS Trust",6,5,0,1,17
Royal Berkshire NHS Foundation Trust,6,3,0,3,50
Northumbria Police,6,3,0,3,50
Oldham Council,6,4,0,2,33
Sheffield City Council,6,2,0,4,67
Essex County Council,6,3,0,3,50
Stockport Metropolitan Borough Council,6,2,0,4,67
James Paget University Hospitals NHS Foundation Trust,6,2,0,4,67
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",6,4,0,2,33
Wiltshire Police,5,2,0,3,60
ABTA – The Travel Association,5,4,0,1,20
Derbyshire County Council,5,3,0,2,40
Derbyshire Healthcare NHS Foundation Trust,5,2,0,3,60
Greater Manchester Combined Authority,5,4,0,1,20
George Eliot Hospital NHS Trust,5,4,0,1,20
Borough Care,5,1,0,4,80
Clinical Commissioning Group,5,4,0,1,20
HM Prison Hewell,5,5,0,0,0
HCA Healthcare UK,5,2,0,3,60
West Mercia Police,5,1,0,4,80
Birmingham Community Healthcare NHS Foundation Trust,5,3,0,2,40
Princess Alexandra Hospital NHS Trust,5,1,0,4,80
HM Prison Long Lartin,5,3,0,2,40
Ofsted,5,2,0,3,60
Northumbria Healthcare NHS Foundation Trust,5,2,0,3,60
Bolton Council,5,3,0,2,40
Chesterfield Royal Hospital NHS Foundation Trust,5,4,0,1,20
HM Prison Winchester,5,5,0,0,0
BUPA,5,2,0,3,60
Royal Society for the Prevention of Accidents,5,5,0,0,0
Essex Police,5,3,0,2,40
British Society of Gastroenterology,5,2,0,3,60
South Warwickshire University NHS Foundation Trust,5,0,0,5,100
North Middlesex University Hospital NHS Trust,5,4,0,1,20
Hertfordshire County Council,5,2,0,3,60
Change Grow Live,5,4,0,1,20
NHS Surrey Heartlands Integrated Care Board,5,5,0,0,0
HM Prison Woodhill,5,4,0,1,20
British Society for Allergy and Clinical Immunology,5,2,1,2,40
British National Formulary,5,3,0,2,40
Staffordshire Police,5,2,0,3,60
Kettering General Hospital NHS Foundation Trust,5,3,0,2,40
South Western Railway,5,3,0,2,40
Mitie Group,5,5,0,0,0
Sainsbury's,5,2,1,2,40
NHS Lincolnshire Integrated Care Board,5,4,0,1,20
NHS Cheshire and Merseyside Integrated Care Board,5,4,0,1,20
NHS Kent and Medway Integrated Care Board,5,4,0,1,20
Isle of Wight NHS Trust,5,4,0,1,20
Avon Fire and Rescue Services,5,5,0,0,0
South Yorkshire Police,5,2,0,3,60
UK Health Security Agency,5,2,1,2,40
Stoke on Trent City Council,5,2,0,3,60
Lancashire County Council,5,1,0,4,80
Bury Council,5,1,0,4,80
Walsall Council,5,2,0,3,60
University Hospitals Bristol and Weston NHS Foundation Trust,5,1,0,4,80
Local Government Association,5,4,0,1,20
Virgin Care,5,4,0,1,20
London North West University Healthcare NHS Trust,5,1,0,4,80
London Borough of Lewisham,5,4,0,1,20
West Suffolk NHS Foundation Trust,4,2,0,2,50
West Hertfordshire Hospitals NHS Trust,4,1,0,3,75
Warwickshire Police,4,0,0,4,100
Denbighshire County Council,4,2,0,2,50
Leicester City Council,4,1,0,3,75
Lancashire Teaching Hospitals NHS Foundation Trust,4,3,0,1,25
Lincolnshire Police,4,3,0,1,25
London Fire Brigade,4,0,0,4,100
NHS Hampshire and Isle of Wight Integrated Care Board,4,3,0,1,25
National Fire Chiefs Council,4,2,0,2,50
NHS South Yorkshire Integrated Care Board,4,2,0,2,50
National Patient Safety Agency,4,4,0,0,0
City of Wolverhampton Council,4,3,0,1,25
Brighton and Hove City Council,4,4,0,0,0
Hackney Council,4,2,0,2,50
Harbour Healthcare Limited,4,4,0,0,0
North Wales Local Authorities,4,4,0,0,0
Homerton Healthcare NHS Foundation Trust,4,2,0,2,50
National Assembly for Wales,4,4,0,0,0
NHS Norfolk and Waveney Integrated Care Board,4,0,0,4,100
NHS North East London Integrated Care Board,4,2,0,2,50
Chief Medical Officer for Wales,4,2,0,2,50
Kirklees Council,4,3,0,1,25
Cambridgeshire and Peterborough NHS Foundation Trust,4,4,0,0,0
Avon and Somerset Constabulary,4,2,0,2,50
East Suffolk and North Essex NHS Foundation Trust,4,1,0,3,75
East and North Hertfordshire NHS Trust,4,2,0,2,50
Spire Healthcare Limited,4,2,0,2,50
Sutton Council,4,4,0,0,0
South Tyneside Council,4,2,0,2,50
Gateshead Health NHS Foundation Trust,4,3,0,1,25
Sunderland City Council,4,2,0,2,50
Association of Directors of Adult Social Services,4,3,0,1,25
Cygnet Health Care,4,2,0,2,50
University Hospital Southampton NHS Foundation Trust,4,2,0,2,50
Association of Police and Crime Commissioners,4,3,0,1,25
Tesco PLC,4,3,0,1,25
Swindon Borough Council,4,2,0,2,50
Suffolk Constabulary,4,2,0,2,50
Traffic Commissioners for Great Britain,4,3,0,1,25
Plymouth City Council,4,4,0,0,0
British Association of Perinatal Medicine,4,2,1,1,25
HM Prison Durham,4,1,0,3,75
HM Prison Birmingham,4,2,0,2,50
HM Prison Wormwood Scrubs,4,3,0,1,25
HM Courts and Tribunals Service,4,2,0,2,50
HM Prison Exeter,4,2,0,2,50
HM Inspectorate of Prisons,4,3,0,1,25
Ofcom,4,2,0,2,50
HM Prison Leeds,4,2,0,2,50
Prisons and Probation Ombudsman,4,4,0,0,0
Royal Devon University Healthcare Foundation Trust,4,1,0,3,75
Royal Surrey NHS Foundation Trust,4,4,0,0,0
Redbridge Council,4,4,0,0,0
Reading Borough Council,4,1,0,3,75
Road Haulage Association,4,2,0,2,50
Serco,4,4,0,0,0
Sandwell Council,4,1,0,3,75
Barnsley Hospital NHS Foundation Trust,4,3,0,1,25
South Tees Hospitals NHS Foundation Trust,4,2,0,2,50
Chelsea and Westminster Hospital NHS Foundation Trust,3,2,0,1,33
Lancashire Constabulary,3,1,0,2,67
London Borough of Islington,3,3,0,0,0
Lincolnshire Partnership NHS Foundation Trust,3,1,0,2,67
Wigan Council,3,2,0,1,33
Merseyside Police,3,2,0,1,33
Liverpool Heart and Chest Hospital NHS Foundation Trust,3,1,0,2,67
Manchester City Council,3,1,0,2,67
Wandsworth Borough Council,3,3,0,0,0
Amazon,3,1,0,2,67
Department for Business and Trade,3,2,0,1,33
Abertawe Bro Morgannwg University Health Board,3,3,0,0,0
Mersey Care NHS Foundation Trust,3,1,0,2,67
CCG,3,2,0,1,33
Capita,3,0,0,3,100
Casualty Reduction Team,3,3,0,0,0
National Crime Agency,3,1,0,2,67
National Trading Standards,3,1,0,2,67
Hertfordshire Constabulary,3,1,0,2,67
Health and Care Professions Council,3,1,0,2,67
North Lincolnshire Council,3,1,0,2,67
Hampshire Hospitals NHS Foundation Trust,3,1,0,2,67
Healthcare Inspectorate Wales,3,3,0,0,0
NHS Dorset Integrated Care Board,3,1,0,2,67
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",3,3,0,0,0
NHS South West London Integrated Care Board,3,2,0,1,33
NHS South East London Integrated Care Board,3,2,0,1,33
Cambian Group,3,0,0,3,100
Rhondda Cynon Taf County Borough Council,3,1,0,2,67
Rotherham Metropolitan Borough Council,3,1,0,2,67
Bondcare Limited,3,2,0,1,33
HM Prison Bedford,3,3,0,0,0
HM Prison Guys Marsh,3,1,0,2,67
Portsmouth City Council,3,1,0,2,67
HM Prison Nottingham,3,3,0,0,0
HM Prison Cardiff,3,2,0,1,33
Powys Teaching Health Board,3,1,0,2,67
HM Prison Swansea,3,2,0,1,33
HM Prison Swaleside,3,1,0,2,67
HM Prison Stoke Heath,3,2,0,1,33
Northern Health and Social Care Trust,3,2,0,1,33
Northern Rail,3,2,0,1,33
Nottingham University Hospitals NHS Trust,3,2,0,1,33
North West Anglia NHS Foundation Trust,3,2,0,1,33
HM Prison Rochester,3,2,0,1,33
Cheshire Constabulary,3,2,0,1,33
Newcastle upon Tyne Hospitals NHS Foundation Trust,3,2,0,1,33
Newcastle City Council,3,2,0,1,33
HM Prison Wakefield,3,3,0,0,0
NHS Cambridgeshire and Peterborough Integrated Care Board,3,2,0,1,33
Lambeth Council,3,2,0,1,33
Imperial College Healthcare NHS Trust,3,2,0,1,33
NHS Humber and North Yorkshire Integrated Care Board,3,1,0,2,67
Royal Yachting Association,3,2,0,1,33
Royal Borough of Greenwich,3,2,0,1,33
Bedfordshire Clinical Commissioning Group,3,0,0,3,100
Greater Manchester Fire and Rescue Service,3,1,0,2,67
Royal College of Midwives,3,2,0,1,33
Bradford Council,3,2,0,1,33
Rochdale Metropolitan Borough Council,3,2,0,1,33
Somerset NHS Foundation Trust,3,2,0,1,33
Somerset County Council,3,2,0,1,33
Solent NHS Trust,3,0,0,3,100
East Sussex Healthcare NHS Trust,3,1,0,2,67
Faculty of Intensive Care Medicine,3,0,0,3,100
East Sussex County Council,3,0,0,3,100
GEOAmey,3,2,0,1,33
Forward Trust,3,2,0,1,33
BT,3,3,0,0,0
Sheffield Health and Social Care NHS Foundation Trust,3,1,0,2,67
Barchester Healthcare,3,0,0,3,100
Govia Thameslink Railway,3,0,0,3,100
Gloucestershire County Council,3,1,0,2,67
General Dental Council,3,1,1,1,33
Dyfed-Powys Police,3,2,0,1,33
Southampton City Council,3,3,0,0,0
Turning Point,3,0,0,3,100
Staffordshire Fire and Rescue Service,3,1,0,2,67
Sunrise Senior Living,3,1,0,2,67
Disclosure and Barring Service,3,2,0,1,33
Doncaster Council,3,0,0,3,100
St Andrews Healthcare,3,1,0,2,67
Shropshire Community Health NHS Trust,3,1,0,2,67
The Lakes Care Centre,3,1,1,1,33
Universities and Colleges Admissions Service,3,1,0,2,67
Wakefield Council,3,1,0,2,67
Derbyshire Community Health Services NHS Foundation Trust,3,3,0,0,0
Derbyshire Constabulary,3,1,0,2,67
Croydon Health Services NHS Trust,3,1,0,2,67
Worcestershire County Council,3,3,0,0,0
Wrexham County Borough Council,3,0,0,3,100
Whirlpool UK,3,0,0,3,100
Bluebird Care,2,1,0,1,50
College of Paramedics,2,0,0,2,100
College of Emergency Medicine,2,1,0,1,50
Cole Valley Care Limited,2,0,0,2,100
Mersey and West Lancashire Teaching Hospitals NHS Trust,2,0,0,2,100
Bradford District Care NHS Foundation Trust,2,1,0,1,50
Bracknell Forest Council,2,2,0,0,0
Cornwall and Isles of Scilly Safeguarding Adults Board,2,2,0,0,0
Torbay Council,2,1,0,1,50
General Midwifery Council,2,1,0,1,50
Great Ormond Street Hospital for Children NHS Foundation Trust,2,1,0,1,50
Torbay and South Devon NHS Foundation Trust,2,1,0,1,50
Google,2,0,1,1,50
The Scout Association,2,1,0,1,50
The Security Service,2,2,0,0,0
Pavillions,2,1,0,1,50
Medtronic,2,1,0,1,50
Road Transport Industry Training Board,2,2,0,0,0
Clarion Housing Group,2,0,0,2,100
Rotherham NHS Foundation Trust,2,0,0,2,100
Gwent Police,2,1,0,1,50
MEDACS Healthcare,2,2,0,0,0
HM Prison Garth,2,1,0,1,50
HM Prison Elmley,2,0,0,2,100
HM Prison Dovegate,2,1,0,1,50
HM Prison Preston,2,2,0,0,0
HM Prison Portland,2,1,0,1,50
HM Prison Norwich,2,0,0,2,100
The Financial Conduct Authority,2,0,0,2,100
Churchgate Surgery,2,2,0,0,0
Bedford Borough Council,2,0,0,2,100
Medica Reporting Ltd,2,0,0,2,100
NHS North East and North Cumbria Integrated Care Board,2,1,0,1,50
University Hospitals Leicester,2,1,0,1,50
University Hospitals of Morecambe Bay NHS Foundation Trust,2,0,0,2,100
University of Birmingham,2,1,0,1,50
University of Bristol,2,1,0,1,50
NHS Northamptonshire Integrated Care Board,2,1,0,1,50
Conwy County Council,2,1,0,1,50
University of Exeter,2,0,0,2,100
NHS Professionals Limited,2,1,0,1,50
Construction Industry Council,2,0,0,2,100
NHS Frimley Integrated Care Board,2,2,0,0,0
Croft Shifa Health Centre,2,1,0,1,50
NHS Gloucestershire Integrated Care Board,2,2,0,0,0
British Vehicle Rental and Leasing Association,2,2,0,0,0
Environment Agency,2,1,0,1,50
Transport Research Laboratory,2,2,0,0,0
GBUK Enteral,2,2,0,0,0
Trading Standards Institute,2,1,0,1,50
Trading Standards,2,2,0,0,0
Mid Cheshire Hospitals NHS Foundation Trust,2,2,0,0,0
Four Seasons Health Care,2,1,0,1,50
Tredegar Practice,2,1,0,1,50
Cardiff University,2,0,0,2,100
Arrowe Park Hospital,2,1,0,1,50
Monmouthshire County Council,2,1,0,1,50
UK Kidney Association,2,2,0,0,0
NHS Coventry and Warwickshire Integrated Care Board,2,2,0,0,0
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",2,2,0,0,0
NHS Blood and Transplant,2,1,0,1,50
NHS,2,2,0,0,0
Peterborough City Council,2,2,0,0,0
NHS Herefordshire and Worcestershire Integrated Care Board,2,2,0,0,0
Cardiff Council,2,1,0,1,50
Herefordshire Council,2,0,0,2,100
Ashley Gardens Care Home,2,1,0,1,50
Association of Anaesthetists,2,1,0,1,50
Association of British Insurers,2,2,0,0,0
Association of British Neurologists,2,0,0,2,100
Sandwell Metropolitan Borough Council,2,2,0,0,0
Hillingdon Hospitals NHS Foundation Trust,2,2,0,0,0
Lambton House Care Home,2,0,0,2,100
Chartered Institute of Environmental Health,2,2,0,0,0
Southeastern Railway,2,1,0,1,50
Choice Support,2,2,0,0,0
Sirona Care & Health,2,2,0,0,0
Southend University Hospital,2,2,0,0,0
Children’s Commissioner for England,2,2,0,0,0
Children and Family Court Advisory and Support Service,2,2,0,0,0
HM Prison Lindholme,2,1,0,1,50
Islands Roads,2,1,0,1,50
Society of Radiographers,2,0,0,2,100
Sodexo,2,2,0,0,0
Independent Advisory Panel on Deaths in Custody,2,2,0,0,0
Slough Borough Council,2,1,0,1,50
Independent Police Complaints Commission,2,1,0,1,50
International Academies of Emergency Dispatch,2,2,0,0,0
Hounslow Council,2,2,0,0,0
Institution of Occupational Safety and Health,2,2,0,0,0
Jigsaw Homes Group,2,1,0,1,50
BAE Systems,2,0,0,2,100
Balfour Beatty,2,1,0,1,50
Incommunities,2,1,0,1,50
Baedling Manor Care Home,2,0,0,2,100
Kent Police,2,0,0,2,100
Southwark Council,2,0,0,2,100
Intensive Care Society,2,2,0,0,0
Luton Borough Council,2,1,0,1,50
Bayer Plc,2,2,0,0,0
Liverpool City Council,2,1,0,1,50
HM Prison Wandsworth,2,2,0,0,0
HM Prison Usk,2,2,0,0,0
HM Prison Thameside,2,1,0,1,50
Royal Berkshire Hospital Trust,2,1,0,1,50
Cegedim,2,1,0,1,50
Tameside NHS Foundation Trust,2,1,0,1,50
Tandridge District Council,2,2,0,0,0
Central London Community Healthcare NHS Trust,2,1,0,1,50
Cheshire West and Chester Council,2,2,0,0,0
Care Outlook Ltd,2,1,0,1,50
Swansea Council,2,1,0,1,50
City of London Police,2,0,0,2,100
Beko Plc,2,2,0,0,0
Castle Rock Group,2,1,0,1,50
Banes Park and Services,2,2,0,0,0
SubCPartner,2,2,0,0,0
Scotia Gas Network,2,2,0,0,0
Heathview Medical Practice,2,1,0,1,50
Heaton Moor Medical Group,2,2,0,0,0
Security Industry Authority,2,2,0,0,0
London Borough of Havering,2,2,0,0,0
Leicester Partnership Trust,2,0,0,2,100
Takeda UK Ltd,2,1,0,1,50
Taff's Well Medical Centre,2,1,0,1,50
Leeds Community Healthcare NHS Trust,2,2,0,0,0
Apple,2,1,1,0,0
Salford City Council,2,0,1,1,50
