sent_to,no. PFDs,overdue,pending,received,% received
Midlands Partnership University NHS Foundation Trust,25,11,0,14,56
Royal College of Paediatrics and Child Health,25,13,1,11,44
Aneurin Bevan University Health Board,25,11,0,14,56
Leeds Teaching Hospitals NHS Trust,24,9,2,13,54
Welsh Government,24,11,0,13,54
Blackpool Teaching Hospitals NHS Foundation Trust,24,11,0,13,54
"Tees, Esk and Wear Valley NHS Foundation Trust",24,17,0,7,29
Surrey and Borders Partnership NHS Foundation Trust,23,11,2,10,43
Swansea Bay University Health Board,23,13,0,10,43
Transport for London,23,8,0,15,65
Camden and Islington NHS Foundation Trust,23,10,0,13,57
University Hospitals of North Midlands NHS Trust,23,8,1,14,61
Royal College of Obstetricians and Gynaecologists,23,15,0,8,35
Oxleas NHS Foundation Trust,23,13,0,10,43
Cornwall Council,22,7,1,14,64
Royal College of General Practitioners,22,10,0,12,55
Cardiff and Vale University Health Board,22,12,0,10,45
Royal College of Psychiatrists,21,18,0,3,14
NHS Birmingham and Solihull Integrated Care Board,21,5,0,16,76
North West Ambulance Service NHS Trust,21,11,1,9,43
Avon and Wiltshire Mental Health Partnership NHS Trust,21,12,0,9,43
"Department for Culture, Media and Sport",21,14,0,7,33
East Midlands Ambulance Service NHS Trust,21,9,0,12,57
University Hospitals Plymouth NHS Trust,20,9,0,11,55
East Kent Hospitals University NHS Foundation Trust,20,10,1,9,45
West Midlands Police,19,6,0,13,68
Devon Partnership NHS Trust,19,6,0,13,68
Herefordshire and Worcestershire Health and Care NHS Trust,19,8,0,11,58
East of England Ambulance Service NHS Trust,18,8,0,10,56
South London and Maudsley NHS Foundation Trust,18,9,0,9,50
NHS Derby and Derbyshire Integrated Care Board,18,13,0,5,28
Public Health England,18,10,0,8,44
Nursing and Midwifery Council,18,10,0,8,44
The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,18,6,0,12,67
Medway NHS Foundation Trust,17,8,0,9,53
Surrey County Council,17,9,1,7,41
Kent and Medway NHS and Social Care Partnership Trust,17,10,0,7,41
South Central Ambulance Service NHS Foundation Trust,17,12,0,5,29
Civil Aviation Authority,17,5,0,12,71
Liverpool University Hospitals NHS Foundation Trust,17,8,0,9,53
Surrey Police,16,10,1,5,31
United Lincolnshire Hospitals NHS Trust,16,8,0,8,50
Bedfordshire Hospitals NHS Foundation Trust,16,6,0,10,62
Cumbria County Council,16,7,0,9,56
Priory Group,16,8,0,8,50
Milton Keynes University Hospital NHS Foundation Trust,16,7,0,9,56
St George’s University Hospitals NHS Foundation Trust,16,13,0,3,19
Leicestershire Partnership NHS Trust,15,2,0,13,87
North East Ambulance Service NHS Foundation Trust,15,8,0,7,47
Royal College of Anaesthetists,15,8,1,6,40
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,15,4,0,11,73
NHS Digital,15,4,0,11,73
University Hospitals of Leicester NHS Trust,14,3,0,11,79
"Department for Business, Energy and Industrial Strategy",14,8,0,6,43
Durham County Council,14,3,0,11,79
King’s College Hospital NHS Foundation Trust,14,10,0,4,29
South East Coast Ambulance Service NHS Foundation Trust,14,4,1,9,64
Dorset Healthcare University NHS Foundation Trust,14,13,0,1,7
Birmingham City Council,14,7,0,7,50
Royal College of Physicians,14,9,1,4,29
Maritime and Coastguard Agency,13,5,0,8,62
Ashford and St Peter’s Hospitals NHS Foundation Trust,13,9,0,4,31
G4S,13,6,0,7,54
East Lancashire Hospitals NHS Trust,13,7,0,6,46
"Foreign, Commonwealth and Development Office",13,8,0,5,38
Sussex Police,13,5,1,7,54
University College London Hospitals NHS Foundation Trust,13,5,2,6,46
Department for Work and Pensions,13,6,0,7,54
HM Prison Pentonville,13,10,0,3,23
Lancashire and South Cumbria NHS Foundation Trust,13,8,0,5,38
NHS Cornwall and Isles of Scilly Integrated Care Board,13,8,0,5,38
Royal College of Emergency Medicine,13,8,1,4,31
County Durham and Darlington NHS Foundation Trust,13,5,0,8,62
Worcestershire Acute Hospitals NHS Trust,13,3,2,8,62
West Midlands Ambulance Service University NHS Foundation Trust,12,5,0,7,58
Norfolk and Norwich University Hospitals NHS Foundation Trust,12,9,0,3,25
North Cumbria Integrated Care NHS Foundation Trust,12,6,0,6,50
Portsmouth Hospitals University NHS Trust,12,6,0,6,50
Black Country Healthcare NHS Foundation Trust,12,5,0,7,58
Hywel Dda University Health Board,12,7,0,5,42
Kent County Council,12,6,0,6,50
Bolton NHS Foundation Trust,12,4,0,8,67
Mid Yorkshire Teaching NHS Trust,12,5,0,7,58
Great Western Hospitals NHS Foundation Trust,12,5,0,7,58
Driver and Vehicle Licensing Agency,12,10,0,2,17
General Pharmaceutical Council,12,6,1,5,42
Oxford University Hospitals NHS Foundation Trust,11,3,0,8,73
Surrey and Sussex Healthcare NHS Trust,11,5,0,6,55
Yorkshire Ambulance Service NHS Trust,11,4,0,7,64
Devon and Cornwall Constabulary,11,7,0,4,36
Sandwell and West Birmingham Hospitals NHS Trust,11,4,0,7,64
Leeds City Council,11,1,0,10,91
NHS Sussex Integrated Care Board,11,7,0,4,36
Norfolk County Council,11,2,0,9,82
Southern Health NHS Foundation Trust,11,5,0,6,55
West London NHS Trust,11,6,0,5,45
Cornwall Partnership NHS Foundation Trust,11,4,0,7,64
"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust",11,2,1,8,73
North Bristol NHS Trust,11,4,0,7,64
British Medical Association,11,9,0,2,18
Royal Free London NHS Foundation Trust,11,6,0,5,45
South West London and St George’s Mental Health NHS Trust,11,7,0,4,36
South West Yorkshire Partnership NHS Foundation Trust,11,7,0,4,36
"Department for Environment, Food and Rural Affairs",11,8,0,3,27
Whittington Health NHS Trust,11,3,0,8,73
Walsall Healthcare NHS Trust,10,4,0,6,60
Office for Product Safety and Standards,10,5,1,4,40
Egton Medical Information Systems,10,6,0,4,40
South Tyneside and Sunderland NHS Foundation Trust,10,4,0,6,60
Trafford Council,10,5,1,4,40
Calderdale Council,10,6,0,4,40
Sheffield Teaching Hospitals NHS Foundation Trust,10,6,0,4,40
Royal Cornwall Hospitals NHS Trust,10,5,0,5,50
Mid and South Essex NHS Foundation Trust,10,4,0,6,60
Royal United Hospitals Bath NHS Foundation Trust,10,5,0,5,50
NHS Nottingham and Nottinghamshire Integrated Care Board,10,9,0,1,10
North West Boroughs Healthcare NHS Foundation Trust,10,2,0,8,80
Cyngor Sir Powys County Council,10,9,0,1,10
Coventry and Warwickshire Partnership NHS Trust,10,4,0,6,60
Royal Pharmaceutical Society,9,5,0,4,44
Royal College of Surgeons,9,7,0,2,22
Maidstone and Tunbridge Wells NHS Foundation Trust,9,2,0,7,78
HC One,9,2,0,7,78
Lincolnshire County Council,9,3,0,6,67
Berkshire Healthcare NHS Foundation Trust,9,6,0,3,33
Canal and River Trust,9,6,0,3,33
Warwickshire County Council,9,5,0,4,44
Frimley Health NHS Foundation Trust,9,5,0,4,44
Dudley Group NHS Foundation Trust,9,2,0,7,78
Staffordshire County Council,9,5,0,4,44
South Western Ambulance Service NHS Foundation Trust,9,6,0,3,33
Resuscitation Council UK,8,3,0,5,62
NHS Wales,8,6,0,2,25
Camden Council,8,3,0,5,62
West Sussex County Council,8,2,0,6,75
Hampshire and Isle of Wight Constabulary,8,5,0,3,38
Health Services Safety Investigations Body,8,6,0,2,25
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",8,4,0,4,50
Royal Wolverhampton NHS Trust,8,4,0,4,50
"Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust",8,3,0,5,62
Chief Fire Officers Association,8,4,0,4,50
British Transport Police,8,4,0,4,50
Gloucestershire Hospital NHS Foundation Trust,8,3,0,5,62
Food Standards Agency,8,1,0,7,88
Dorset Council,8,0,0,8,100
Hampshire County Council,8,2,0,6,75
Suffolk County Council,7,2,0,5,71
Greater London Authority,7,5,0,2,29
South Wales Police,7,3,1,3,43
Wiltshire Council,7,3,0,4,57
Cheshire East Council,7,0,0,7,100
Advisory Council on the Misuse of Drugs,7,6,0,1,14
Epsom and St Helier University Hospitals NHS Trust,7,3,0,4,57
Stockport Metropolitan Borough Council,7,2,1,4,57
Guy's and St Thomas' NHS Foundation Trust,7,2,0,5,71
"Bournemouth, Christchurch and Poole Council",7,4,0,3,43
Royal National Lifeboat Institution,7,3,0,4,57
Nottinghamshire County Council,7,3,0,4,57
NHS West Yorkshire Integrated Care Board,7,6,0,1,14
Sherwood Forest Hospitals NHS Foundation Trust,7,3,0,4,57
Shrewsbury and Telford Hospital NHS Trust,7,3,0,4,57
Birmingham Women's and Children's NHS Foundation Trust,7,7,0,0,0
Bedfordshire Police,7,1,0,6,86
Cheshire and Wirral Partnership NHS Foundation Trust,7,5,0,2,29
Cambridgeshire County Council,7,2,0,5,71
Dorset Police,7,2,0,5,71
Devon County Council,7,4,0,3,43
Tower Hamlets Council,7,4,0,3,43
Milton Keynes City Council,7,1,1,5,71
Royal College of Nursing,7,5,0,2,29
Royal College of Pathologists,7,6,0,1,14
Lewisham and Greenwich NHS Trust,7,3,0,4,57
Joint Royal Colleges Ambulance Liaison Committee,7,7,0,0,0
Isle of Wight Council,7,4,0,3,43
Thames Valley Police,6,0,0,6,100
Driver and Vehicle Standards Agency,6,4,0,2,33
University Health Board,6,4,0,2,33
Wye Valley NHS Trust,6,1,0,5,83
Circle Health Group,6,5,0,1,17
North Yorkshire County Council,6,2,0,4,67
National Trust,6,0,0,6,100
"Barnet, Enfield and Haringey Mental Health NHS Trust",6,5,0,1,17
Office of Rail and Road,6,4,0,2,33
Oldham Council,6,4,0,2,33
Rail Safety and Standards Board,6,5,0,1,17
West Yorkshire Police,6,2,0,4,67
Northumbria Police,6,3,0,3,50
Rotherham Doncaster and South Humber NHS Foundation Trust,6,3,1,2,33
Royal Berkshire NHS Foundation Trust,6,3,0,3,50
Tameside Metropolitan Borough Council,6,5,0,1,17
Essex County Council,6,3,0,3,50
British Standards Institution,6,3,0,3,50
Calderdale and Huddersfield NHS Foundation Trust,6,4,0,2,33
University Hospitals Coventry and Warwickshire NHS Trust,6,4,0,2,33
NHS Devon Integrated Care Board,6,3,0,3,50
Hull University Teaching Hospitals NHS Trust,6,3,0,3,50
James Paget University Hospitals NHS Foundation Trust,6,2,0,4,67
Royal College of Radiologists,6,2,0,4,67
NHS Lancashire and South Cumbria Integrated Care Board,6,3,0,3,50
Gloucestershire Health and Care NHS Foundation Trust,6,2,0,4,67
HM Prison Belmarsh,6,6,0,0,0
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",6,4,0,2,33
Leeds and York Partnership NHS Foundation Trust,6,2,0,4,67
Sheffield Children’s NHS Foundation Trust,6,3,0,3,50
Sheffield City Council,6,2,0,4,67
ABTA – The Travel Association,5,4,0,1,20
Walsall Council,5,2,0,3,60
North Middlesex University Hospital NHS Trust,5,3,0,2,40
West Mercia Police,5,1,0,4,80
Northumbria Healthcare NHS Foundation Trust,5,2,0,3,60
Virgin Care,5,4,0,1,20
Avon Fire and Rescue Services,5,5,0,0,0
NHS Kent and Medway Integrated Care Board,5,4,0,1,20
NHS Cheshire and Merseyside Integrated Care Board,5,4,0,1,20
Birmingham Community Healthcare NHS Foundation Trust,5,3,0,2,40
Princess Alexandra Hospital NHS Trust,5,1,0,4,80
NHS Lincolnshire Integrated Care Board,5,4,0,1,20
NHS Surrey Heartlands Integrated Care Board,5,5,0,0,0
Ofsted,5,2,0,3,60
BUPA,5,2,0,3,60
Staffordshire Police,5,2,0,3,60
Bolton Council,5,3,0,2,40
London North West University Healthcare NHS Trust,5,1,0,4,80
Mitie Group,5,4,0,1,20
Borough Care,5,1,0,4,80
London Fire Brigade,5,0,1,4,80
Sainsbury's,5,3,0,2,40
George Eliot Hospital NHS Trust,5,4,0,1,20
Bury Council,5,1,0,4,80
British National Formulary,5,3,0,2,40
HCA Healthcare UK,5,2,0,3,60
HM Prison Hewell,5,5,0,0,0
HM Prison Long Lartin,5,3,0,2,40
HM Prison Winchester,5,5,0,0,0
HM Prison Woodhill,5,4,0,1,20
Hertfordshire County Council,5,2,0,3,60
Isle of Wight NHS Trust,5,4,0,1,20
Lancashire County Council,5,1,0,4,80
Kettering General Hospital NHS Foundation Trust,5,3,0,2,40
Local Government Association,5,4,0,1,20
London Borough of Lewisham,5,4,0,1,20
Royal Society for the Prevention of Accidents,5,5,0,0,0
South Yorkshire Police,5,2,0,3,60
Essex Police,5,3,0,2,40
Stoke on Trent City Council,5,2,0,3,60
Greater Manchester Combined Authority,5,4,0,1,20
British Society of Gastroenterology,5,2,0,3,60
British Society for Allergy and Clinical Immunology,5,2,1,2,40
South Warwickshire University NHS Foundation Trust,5,0,0,5,100
South Western Railway,5,3,0,2,40
Derbyshire Healthcare NHS Foundation Trust,5,2,0,3,60
University Hospitals Bristol and Weston NHS Foundation Trust,5,1,0,4,80
UK Health Security Agency,5,2,1,2,40
Derbyshire County Council,5,3,0,2,40
Wiltshire Police,5,2,0,3,60
Change Grow Live,5,4,0,1,20
Chesterfield Royal Hospital NHS Foundation Trust,5,4,0,1,20
Chief Medical Officer for Wales,5,3,0,2,40
Clinical Commissioning Group,5,4,0,1,20
NHS Norfolk and Waveney Integrated Care Board,4,0,0,4,100
NHS North East London Integrated Care Board,4,2,0,2,50
HM Courts and Tribunals Service,4,2,0,2,50
HM Prison Leeds,4,2,0,2,50
Royal Devon University Healthcare Foundation Trust,4,1,0,3,75
HM Prison Exeter,4,2,0,2,50
HM Prison Durham,4,1,0,3,75
Plymouth City Council,4,4,0,0,0
NHS Hampshire and Isle of Wight Integrated Care Board,4,3,0,1,25
Royal Surrey NHS Foundation Trust,4,4,0,0,0
Barnsley Hospital NHS Foundation Trust,4,3,0,1,25
University Hospital Southampton NHS Foundation Trust,4,2,0,2,50
Sandwell Council,4,1,0,3,75
Warwickshire Police,4,0,0,4,100
Department for Business and Trade,4,2,1,1,25
HM Inspectorate of Prisons,4,3,0,1,25
Homerton Healthcare NHS Foundation Trust,4,2,0,2,50
Serco,4,4,0,0,0
Spire Healthcare Limited,4,2,0,2,50
Hackney Council,4,2,0,2,50
Cygnet Health Care,4,2,0,2,50
South Tees Hospitals NHS Foundation Trust,4,2,0,2,50
South Tyneside Council,4,2,0,2,50
Harbour Healthcare Limited,4,4,0,0,0
City of Wolverhampton Council,4,3,0,1,25
Association of Police and Crime Commissioners,4,3,0,1,25
Denbighshire County Council,4,2,0,2,50
West Hertfordshire Hospitals NHS Trust,4,1,0,3,75
Brighton and Hove City Council,4,4,0,0,0
Ofcom,4,2,0,2,50
Association of Directors of Adult Social Services,4,3,0,1,25
HM Prison Wormwood Scrubs,4,3,0,1,25
West Suffolk NHS Foundation Trust,4,2,0,2,50
British Association of Perinatal Medicine,4,2,1,1,25
Reading Borough Council,4,1,0,3,75
Tesco PLC,4,3,0,1,25
Redbridge Council,4,4,0,0,0
East Suffolk and North Essex NHS Foundation Trust,4,1,0,3,75
Gateshead Health NHS Foundation Trust,4,3,0,1,25
North Wales Local Authorities,4,4,0,0,0
Leicester City Council,4,1,0,3,75
National Fire Chiefs Council,4,2,0,2,50
East and North Hertfordshire NHS Trust,4,2,0,2,50
National Patient Safety Agency,4,4,0,0,0
Cambridgeshire and Peterborough NHS Foundation Trust,4,4,0,0,0
Road Haulage Association,4,2,0,2,50
NHS South Yorkshire Integrated Care Board,4,2,0,2,50
Sutton Council,4,4,0,0,0
Kirklees Council,4,3,0,1,25
Swindon Borough Council,4,2,0,2,50
Prisons and Probation Ombudsman,4,4,0,0,0
HM Prison Birmingham,4,2,0,2,50
Traffic Commissioners for Great Britain,4,3,0,1,25
Avon and Somerset Constabulary,4,2,0,2,50
Lincolnshire Police,4,3,0,1,25
Sunderland City Council,4,2,0,2,50
Lancashire Teaching Hospitals NHS Foundation Trust,4,3,0,1,25
Suffolk Constabulary,4,2,0,2,50
National Assembly for Wales,4,4,0,0,0
Royal Borough of Greenwich,3,2,0,1,33
Wandsworth Borough Council,3,3,0,0,0
Health and Care Professions Council,3,1,0,2,67
Rotherham Metropolitan Borough Council,3,1,0,2,67
Royal College of Midwives,3,2,0,1,33
Shropshire Community Health NHS Trust,3,1,0,2,67
Lambeth Council,3,2,0,1,33
Rochdale Metropolitan Borough Council,3,2,0,1,33
Hertfordshire Constabulary,3,1,0,2,67
Sheffield Health and Social Care NHS Foundation Trust,3,1,0,2,67
Lancashire Constabulary,3,1,0,2,67
BT,3,3,0,0,0
Royal Yachting Association,3,2,0,1,33
Rhondda Cynon Taf County Borough Council,3,1,0,2,67
Imperial College Healthcare NHS Trust,3,2,0,1,33
Croydon Health Services NHS Trust,3,1,0,2,67
Universities and Colleges Admissions Service,3,1,0,2,67
St Andrews Healthcare,3,1,0,2,67
HM Prison Guys Marsh,3,1,0,2,67
Cambian Group,3,0,0,3,100
HM Prison Bedford,3,3,0,0,0
CCG,3,2,0,1,33
HM Prison Cardiff,3,2,0,1,33
Govia Thameslink Railway,3,0,0,3,100
Dyfed-Powys Police,3,2,0,1,33
Greater Manchester Fire and Rescue Service,3,1,0,2,67
Derbyshire Community Health Services NHS Foundation Trust,3,3,0,0,0
Gloucestershire County Council,3,1,0,2,67
GEOAmey,3,2,0,1,33
East Sussex Healthcare NHS Trust,3,1,0,2,67
East Sussex County Council,3,0,0,3,100
General Dental Council,3,1,1,1,33
Forward Trust,3,2,0,1,33
The Lakes Care Centre,3,1,1,1,33
Faculty of Intensive Care Medicine,3,0,0,3,100
Amazon,3,1,0,2,67
Sunrise Senior Living,3,1,0,2,67
Healthcare Inspectorate Wales,3,3,0,0,0
Capita,3,0,0,3,100
Hampshire Hospitals NHS Foundation Trust,3,1,0,2,67
Southampton City Council,3,3,0,0,0
Somerset NHS Foundation Trust,3,2,0,1,33
Somerset County Council,3,2,0,1,33
Solent NHS Trust,3,0,0,3,100
Derbyshire Constabulary,3,1,0,2,67
Wakefield Council,3,1,0,2,67
Turning Point,3,0,0,3,100
HM Prison Wandsworth,3,2,1,0,0
Staffordshire Fire and Rescue Service,3,1,0,2,67
HM Prison Nottingham,3,3,0,0,0
Doncaster Council,3,0,0,3,100
HM Prison Rochester,3,2,0,1,33
HM Prison Stoke Heath,3,2,0,1,33
HM Prison Swaleside,3,1,0,2,67
Disclosure and Barring Service,3,2,0,1,33
HM Prison Swansea,3,2,0,1,33
HM Prison Wakefield,3,3,0,0,0
Bedfordshire Clinical Commissioning Group,3,0,0,3,100
North Lincolnshire Council,3,1,0,2,67
Chelsea and Westminster Hospital NHS Foundation Trust,3,2,0,1,33
NHS Humber and North Yorkshire Integrated Care Board,3,1,0,2,67
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",3,3,0,0,0
Northern Health and Social Care Trust,3,2,0,1,33
Wrexham County Borough Council,3,0,0,3,100
Bradford Council,3,2,0,1,33
National Crime Agency,3,1,0,2,67
Powys Teaching Health Board,3,1,0,2,67
NHS South East London Integrated Care Board,3,2,0,1,33
Manchester City Council,3,1,0,2,67
NHS South West London Integrated Care Board,3,2,0,1,33
Mersey Care NHS Foundation Trust,3,1,0,2,67
Casualty Reduction Team,3,3,0,0,0
NHS Dorset Integrated Care Board,3,1,0,2,67
Northern Rail,3,2,0,1,33
Merseyside Police,3,2,0,1,33
Portsmouth City Council,3,1,0,2,67
Bondcare Limited,3,2,0,1,33
Newcastle City Council,3,2,0,1,33
Liverpool Heart and Chest Hospital NHS Foundation Trust,3,1,0,2,67
NHS Cambridgeshire and Peterborough Integrated Care Board,3,2,0,1,33
National Trading Standards,3,1,0,2,67
Lincolnshire Partnership NHS Foundation Trust,3,1,0,2,67
Nottingham University Hospitals NHS Trust,3,2,0,1,33
Barchester Healthcare,3,0,0,3,100
Newcastle upon Tyne Hospitals NHS Foundation Trust,3,2,0,1,33
Cheshire Constabulary,3,2,0,1,33
Whirlpool UK,3,0,0,3,100
London Borough of Islington,3,3,0,0,0
Wigan Council,3,2,0,1,33
Worcestershire County Council,3,3,0,0,0
North West Anglia NHS Foundation Trust,3,2,0,1,33
Gwent Police,2,1,0,1,50
Bedford Borough Council,2,0,0,2,100
Association of Anaesthetists,2,1,0,1,50
NHS North East and North Cumbria Integrated Care Board,2,1,0,1,50
Ashley Gardens Care Home,2,1,0,1,50
North Yorkshire Police,2,1,0,1,50
NHS Northamptonshire Integrated Care Board,2,1,0,1,50
Arrowe Park Hospital,2,1,0,1,50
NHS Professionals Limited,2,1,0,1,50
HM Prison Garth,2,1,0,1,50
NHS Coventry and Warwickshire Integrated Care Board,2,2,0,0,0
HM Prison Elmley,2,0,0,2,100
NHS Frimley Integrated Care Board,2,2,0,0,0
HM Prison Dovegate,2,1,0,1,50
NHS Herefordshire and Worcestershire Integrated Care Board,2,2,0,0,0
Bayer Plc,2,2,0,0,0
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",2,2,0,0,0
HM Prison Preston,2,2,0,0,0
HM Prison Portland,2,1,0,1,50
HM Prison Norwich,2,0,0,2,100
NHS Gloucestershire Integrated Care Board,2,2,0,0,0
GBUK Enteral,2,2,0,0,0
Tameside NHS Foundation Trust,2,1,0,1,50
Takeda UK Ltd,2,1,0,1,50
Taff's Well Medical Centre,2,1,0,1,50
North Somerset Council,2,0,0,2,100
New Lodge Nursing Home,2,1,0,1,50
Nestor Primecare,2,2,0,0,0
British Thoracic Society,2,0,0,2,100
The Financial Conduct Authority,2,0,0,2,100
Football Association,2,2,0,0,0
Four Seasons Health Care,2,1,0,1,50
Beko Plc,2,2,0,0,0
Energy UK,2,0,0,2,100
Environment Agency,2,1,0,1,50
Amey PLC,2,2,0,0,0
Edmiston London Heliport,2,2,0,0,0
Navigo,2,1,0,1,50
NHS Lothian Scotland,2,2,0,0,0
Northampton General Hospital NHS Trust,2,1,0,1,50
Bluebird Care,2,1,0,1,50
Northamptonshire Healthcare NHS Foundation Trust,2,2,0,0,0
Apple,2,1,1,0,0
National Ambulance Services Medical Directors,2,2,0,0,0
SubCPartner,2,2,0,0,0
HM Prison Lindholme,2,1,0,1,50
Tandridge District Council,2,2,0,0,0
National Ambulance Resilience Unit,2,2,0,0,0
Great Ormond Street Hospital for Children NHS Foundation Trust,2,1,0,1,50
NHS Wales Shared Services Partnership,2,2,0,0,0
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2,1,0,1,50
Swansea Council,2,1,0,1,50
General Midwifery Council,2,1,0,1,50
Google,2,0,1,1,50
North Laine Medical Centre,2,1,0,1,50
British Vehicle Rental and Leasing Association,2,2,0,0,0
Inmind Healthcare Group,2,0,1,1,50
Rugby Football Union,2,0,0,2,100
Rugby Football League,2,0,0,2,100
Institution of Occupational Safety and Health,2,2,0,0,0
Intensive Care Society,2,2,0,0,0
International Academies of Emergency Dispatch,2,2,0,0,0
Peterborough City Council,2,2,0,0,0
Sandwell Metropolitan Borough Council,2,2,0,0,0
HM Prison Usk,2,2,0,0,0
Pavillions,2,1,0,1,50
Incommunities,2,1,0,1,50
Salford City Council,2,0,1,1,50
Independent Advisory Panel on Deaths in Custody,2,2,0,0,0
Hounslow Council,2,2,0,0,0
Security Industry Authority,2,2,0,0,0
Scotia Gas Network,2,2,0,0,0
Peabody Trust,2,1,0,1,50
Medica Reporting Ltd,2,0,0,2,100
British Cardiovascular Intervention Society,2,1,0,1,50
British Cycling,2,0,0,2,100
Road Transport Industry Training Board,2,2,0,0,0
Leeds Community Healthcare NHS Trust,2,2,0,0,0
Lambton House Care Home,2,0,0,2,100
Liverpool City Council,2,1,0,1,50
Baedling Manor Care Home,2,0,0,2,100
Balfour Beatty,2,1,0,1,50
Independent Police Complaints Commission,2,1,0,1,50
London Borough of Newham,2,0,1,1,50
Royal Berkshire Hospital Trust,2,1,0,1,50
Rotherham NHS Foundation Trust,2,0,0,2,100
Kent Police,2,0,0,2,100
London Borough of Havering,2,2,0,0,0
Islands Roads,2,1,0,1,50
MEDACS Healthcare,2,2,0,0,0
Luton Borough Council,2,1,0,1,50
Jigsaw Homes Group,2,1,0,1,50
BAE Systems,2,0,0,2,100
Association of British Neurologists,2,0,0,2,100
Association of British Insurers,2,2,0,0,0
Mid Cheshire Hospitals NHS Foundation Trust,2,2,0,0,0
One Stockport Health and Care Board,2,0,0,2,100
Oracle,2,0,0,2,100
Haringey Council,2,1,0,1,50
NHS Blood and Transplant,2,1,0,1,50
NHS,2,2,0,0,0
Herefordshire Council,2,0,0,2,100
Not Listed,2,1,0,1,50
Motorsport UK,2,1,0,1,50
Nuffield Health,2,1,0,1,50
Monmouthshire County Council,2,1,0,1,50
HM Prison Wymott,2,2,0,0,0
Southwark Council,2,0,0,2,100
Southeastern Railway,2,1,0,1,50
Boots UK Limited,2,2,0,0,0
Orchard Surgery,2,2,0,0,0
Mersey and West Lancashire Teaching Hospitals NHS Trust,2,0,0,2,100
Sodexo,2,2,0,0,0
Society of Radiographers,2,0,0,2,100
Hillingdon Hospitals NHS Foundation Trust,2,2,0,0,0
Pembrokeshire County Council,2,2,0,0,0
Society of British Neurological Surgeons,2,1,0,1,50
Heaton Moor Medical Group,2,2,0,0,0
Slough Borough Council,2,1,0,1,50
One Housing Group,2,1,0,1,50
Medtronic,2,1,0,1,50
British Marine,2,2,0,0,0
Oxfordshire County Council,2,0,0,2,100
Bristol City Council,2,2,0,0,0
Bradford District Care NHS Foundation Trust,2,1,0,1,50
Bracknell Forest Council,2,2,0,0,0
Heathview Medical Practice,2,1,0,1,50
Ofgem,2,1,0,1,50
Hammerson Plc,2,1,0,1,50
